Name,Age,Email,Country,Salary,Join_Date,Phone_Number,Address,Job_Title,Notes
,18,,United States,50000,2020-11-31,invalid,"? Ikorodu Rd, PH",Helper,Duplicate
  Jane L.,thirty,noemail,,,2022-01-01,invalid,"7 Main St, PH",Intern,Duplicate
,,noemail,NIGERIA,52000,2020-01-05,+2341518524025,"  Broadway, None", , 
 Li  Okoro,22,#,NIGERIA,70000 ,,+2349166955266,"45B Olu Obasanjo, None",Technician,Duplicate
SUSAN OKORO,N/A,#,UAE,not available,2021/13/01,invalid,"? Olu Obasanjo, PH",Helper,Good candidate
,N/A,#,United States,50000,2022/03/20,invalid,"? ,  ",Data Analyst,Duplicate
Aisha   Garcia,35,aishagarcia@gmail,UK,70000 ,2020-11-31,+2343894146403,"7 Main St,  ",Mud Engineer,
,,#,UAE,45000,2020-00-12,0703-2390161,"7 Ikorodu Rd, Kano",,
  Anna I.,40,annai.@gmail,UK,error,2021-07-15,N/A,"? Broadway, Kano",Data Analyst,Duplicate
 Wei  Okoro, 31 ,,USA,52k,2020-01-05,,"None Ikorodu Rd, Lagos",Mud Engineer, 
  Bob S.,35,bobs.@mail.com,USA,52000,2021/13/01,+2349220598436,"45B , PH",Mud Engineer,Needs review
,N/A,,United States,52k,2022/03/20,+2343164269413,"? Ikorodu Rd, Kano",Technician,Entry incomplete
WEI O'CONNOR,N/A,,United Kingdom,52000,2021/13/01,08087462952,"7 Aba Rd,  ",Technician,See supervisor
  Mohammed S.,22,mohammeds.@@broken.com,Naija,"55,000",2020-11-31,invalid,"45B Ikorodu Rd, Abuja",Senior Engineer,Duplicate
Wei   Garcia, 31 ,weigarcia@test@,,,2021/13/01,,"  Broadway, Abuja",Mud Engineer,See supervisor
anna ali ,29,,UAE,70000,2020-11-31,0703-5951980,"45B Olu Obasanjo, None",Data Analyst,Check details
Anna   Garcia,,,,error,2020-01-05,invalid,"  Aba Rd,  ",Senior Engineer,Check details
ANNA SMITH,N/A,#,us,50000,2020-01-05,0703-4169525,"? Main St,  ",,Entry incomplete
aisha doe ,29,aishadoe@@broken.com,NIGERIA,error,05/02/2021,+2345461704436,"? Broadway, Abuja", ,??
john kumar ,N/A,,UAE,error,2021-07-15,08081239823,"12 Sapele Rd, PH",Technician,Good candidate
,29,x@mail.com,United States,,2020-14-10,,"12 Aba Rd, Abuja",Helper,
 Li  Ivanov,??,@@,uae,60000,2021/13/01,,"  Aba Rd, PH",Mud Engineer,Needs review
aisha kumar ,30,aishakumar@example.com,NIGERIA,,2022-01-01,0703-0961913,"  Olu Obasanjo, None",Helper,Check details
 Mohammed  Kumar,??,,uae,70000 ,2021-07-15,0703-7279072,"? Sapele Rd, Abuja", ,Good candidate
aisha ivanov ,thirty,noemail,UK,not available,2020-11-31,,"? , Lagos",Helper,See supervisor
,22,x@example.com,America,45000,2022/03/20,+2344720832979,"None Sapele Rd, Lagos",Mud Engineer, 
  Wei O.,22,weio.@mail.com,USA,50000,2022-01-01,0703-3064820,"  Broadway, Lagos",Mud Engineer,??
WEI IVANOV,N/A,@@,Naija,not available,2022/03/20,0703-6013570,"45B Sapele Rd, Kano",Senior Engineer,Entry incomplete
  Tunde G., 31 ,tundeg.@@broken.com,,"55,000",2022-01-01,invalid,"7 , Abuja", ,See supervisor
Susan   Kumar,,susankumar@@broken.com,UAE,50000,2022-01-01,0703-1839405,"? Aba Rd, Kano",Intern,
WEI IVANOV, 31 ,weiivanov@example.com,America,52000,2020-11-31,invalid,"None Ikorodu Rd, Kano", ,Duplicate
  Li L.,18,noemail,UK,50000,05/02/2021,N/A,"  Olu Obasanjo,  ", ,Check details
,25,x@test@,United Kingdom,50000,2021-07-15,,"100 Main St, Abuja",Helper,
,N/A,x@test@,us,60000,2020-00-12,0703-0279875,"? Aba Rd, Lagos",,Good candidate
GRACE IVANOV,??,graceivanov@example.com,Naija,not available,2020-14-10,08038892034,"? Main St, PH",Technician,Needs review
